pdf_filename,email_title,category,summary_text,promo_code,expiry_date
../ExtractedEmails/Email1.pdf,The sale ends tonight 👇,Offers,"Book your flights on goIndiGo.in for fares starting at ₹1,111. Sale ends tonight (November 13th, 2024).",No,"November 13th, 2024"
../ExtractedEmails/Email2.pdf,Fares from ₹1444 – It’s #TimeToTravel with 25% Off Xpress Biz!,Offers,"Get 25% off on XPRESSlite and XPRESSValue flights with XPRESS 1444 and 1599 fares. Plus, enjoy zero convenience fee.",No,No
../ExtractedEmails/Email3.pdf,The Emirates NBA Cup Starts TODAY,Offers,"Stream the Emirates NBA Cup games, featuring the Knicks vs. 76ers and Mavericks vs. Warriors. Get NBA League Pass to watch every game.",No,No
../ExtractedEmails/Email5.pdf,Share your docs via LinkToFill,Offers,"Create a link to your document and share it with your customers for them to fill out and submit documents online without printing, filling out by hand, mailing, or faxing.",No,No
../ExtractedEmails/Email6.pdf,Resume-writing secret from Warren Buffett’s genie,Everything Else,"This email provides career advice from Rohan, focusing on improving resumes. It suggests analyzing top resumes and using Resume Worded Pro, offering 500+ sample resume bullets and an AI-powered bullet writer.",R8Q7RW25,No
../ExtractedEmails/Email7.pdf,30 Internships You Can't Miss Out On!,N/A,The PDF document is too large to process.,N/A,N/A
../ExtractedEmails/Email8.pdf,Now managing your JioFiber Accounts is easier as it gets.,Everything Else,"This email introduces the JioFiber user guide, providing information about account management, voice services, Wi-Fi management, troubleshooting, and Jio Set-Top Box.",No,No
../ExtractedEmails/Email9.pdf,Limited-time price drop 🧨,Offers,"Get up to 11% off on flights to 11 destinations including Singapore, Srinagar, Istanbul, Nairobi, Kochi, Goa, Maldives, Shirdi, Varanasi, Visakhapatnam, and Bhopal. Book now on golndiGo.in.",No,"13th November, 2024"
../ExtractedEmails/Email10.pdf,Kickstart Your Corporate Career in Just 1 Year!,Everything Else,"Jindal Global Business School offers a 1-year MBA in Business Analytics focusing on practical skills and global collaboration. The program equips students with skills for roles like business analyst, management consultant, and more.",No,No
../ExtractedEmails/Email11.pdf,Recommended: What is Data Science?,Everything Else,Recommendations for data science courses from IBM and Google.,No,No
../ExtractedEmails/Email12.pdf, Important Update Alert!,Offers,SuperCoin earnings are now exclusive to Flipkart Plus & VIP members. Earn 50 Bonus SuperCoins on your first order placed by 30th November. Shop for your favorites now.,No,No
../ExtractedEmails/Email13.pdf,Indian Customers Innovate Using AWS,Everything Else,"This email promotes AWS services and resources for building cloud infrastructure. It highlights best practices, tools, and events.",No,No
../ExtractedEmails/Email14.pdf,Your latest Internship recommendations from Prosple🚀,Reminder/Alerts,"Internship at Reserve Bank of India for engineering & mathematics related degrees. Multiple locations, INR 20,000/month. Applications close 31 December 2024.",No,No
../ExtractedEmails/Email15.pdf,It’s price drop hour ⬇️🤫,Offers,"Get up to 11% off on flights to 11 destinations like Goa and Maldives between 11th-13th November, 2024. Book now on goIndiGo.in.",No,No
../ExtractedEmails/Email16.pdf,November Stock Photo Trends,Everything Else,"Newsletter from Dreamstime.com with trending stock photos, blog posts, and popular searches for November 2024.",No,No
../ExtractedEmails/Email17.pdf,pdfFiller works well for them,Everything Else,Try pdfFiller free and get access to advanced tools for editing and annotating PDFs. Discover more with an annual subscription.,No,No
../ExtractedEmails/Email18.pdf,The Emirates NBA Cup is Almost Here,Events,The Emirates NBA Cup is starting on November 12th with all 30 teams competing.  The tournament concludes on December 17th with the championship in Las Vegas.,No,No
../ExtractedEmails/Email19.pdf,11.11 is going to be... 🪄,Offers,"IndiGo is offering price drops on flights to 11 destinations from 11am daily, November 11th-13th, 2024.",No,No
../ExtractedEmails/Email20.pdf,30 *Paid* Summer 2025 Internships!,N/A,The PDF document is too large to process.,N/A,N/A
../ExtractedEmails/Email21.pdf,Been wishing for a deal? ✨,Offers,"Get away for a weekend trip from November 11th to 13th, 2024. Stay tuned for more details.",No,No
../ExtractedEmails/Email22.pdf,"HACKATHONS just for you, Ayush",Events,"Virtual hackathons on topics like gaming, AI, and data development with various deadlines and prizes.  Includes links to join each hackathon.",No,No
../ExtractedEmails/Email23.pdf,"Introducing Claude desktop apps, visual PDF support, and more",Everything Else,"Claude AI introduces new features, including desktop apps for Mac and Windows, dictation support on iOS and Android apps, and visual PDF understanding. Claude Pro now offers an annual plan for users in the US with a 10% discount.",No,No
../ExtractedEmails/Email24.pdf,Important Update Regarding Flying Returns,Reminder/Alerts,Air India Flying Returns system will be unavailable for account access from 0600 hrs IST on 11 Nov 2024 to 0200 hrs IST on 12 Nov 2024 due to merger with Club Vistara.,No,No
../ExtractedEmails/Email25.pdf,"Two Matches, Twice the Glory – Are You In?",Events,"Fantasy contests for Australia Women's T20 matches,  with rewards upto ₹70 Lakh. Matches: R vs BH-W at 09:30 AM and S vs MR-W at 01:45 PM.",No,No
../ExtractedEmails/Email26.pdf,Here’s a limited-time offer ✈️,Offers,Get up to 20% off on IndiGo flights from Delhi to Mumbai. Book now!,No,No
../ExtractedEmails/Email27.pdf,Send docs via USPS directly from pdfFiller,Everything Else,pdfFiller allows users to send physical documents via USPS. The service sends documents up to 20 pages to any US address. Users can track the delivery status in their In/Out Box > USPS Mail.,No,No
../ExtractedEmails/Email29.pdf,Follow Up: Your 85% off GenieBox,Offers,Get 85% off your GenieBox logo download. Download your logo today to access logo files and start creating designs.,No,No
../ExtractedEmails/Email30.pdf,Why hirinng managerrs love this 6-lettr word,Everything Else,"This email emphasizes the importance of having a typo-free resume. It claims that even small mistakes can lead to your resume being deleted by recruiters, as they are looking for any reason to move on. The email promotes 'Resume Worded Pro', a resume optimization tool that can help you create a top-tier resume.",No,No
../ExtractedEmails/Email31.pdf,Only 8 weekends left in 2024 😯 Make the most out of them 👇,Events,"INNELLEA THEBELRXCING ALBUM LIVE TOUR on November 17, 2024 in Manpho, Bangalore.",No,No
../ExtractedEmails/Email32.pdf,Book directly on the Air India App & unlock savings,Offers,"Enjoy exclusive benefits for booking domestic flights on the Air India app. Get up to ₹1200 off on UPI payments using code UPIPROMO, up to ₹1200 off with Net banking using code NBPROMO, or a flat ₹200 off on one-way domestic flights using code ONEWAY200.",UPIPROMO,No
../ExtractedEmails/Email33.pdf,Save big. Dream bigger. Get Coursera Plus Annual for INR 7999.,Everything Else,"Get Coursera Plus Annual for INR 7999. Access over 7,000 courses from Google, Meta, IBM, and more.",No,"December 2nd, 2024 11:59 PM UTC"
../ExtractedEmails/Email34.pdf,Ready to download GenieBox?,Offers,Download your GenieBox logo with 85% discount. Click the link to download.,No,No
../ExtractedEmails/Email35.pdf,📩 Your 30+ Internships Are Here – Apply Now!,N/A,The PDF document is too large to process.,N/A,N/A
../ExtractedEmails/Email36.pdf,Important Update about your Data Privacy,Reminder/Alerts,"Provide consent to receive marketing communications and exclusive offers from Flying Returns by November 20, 2024. Opting out will stop you from receiving these updates.",No,"November 20, 2024"
../ExtractedEmails/Email37.pdf,Happy families book hotels together,Offers,"Get up to 25% off on hotel bookings on goIndiGo.in with code STAYNSAVE. Book now for destinations like Coorg, Gangtok, Udaipur, Rishikesh, and Mount Abu.",STAYNSAVE,No
../ExtractedEmails/Email38.pdf,Unlock Member-Only Savings,Offers,"Get 50% off BizSeatUpgrade, 25% off Prime Seats, OPTO NeuCoins on Hot Meals, and 8% off every purchase. Login to airindiaexpress.com to unlock these offers.",No,No
../ExtractedEmails/Email39.pdf,GenieBox is ready,Everything Else,Download your BrandCrowd logo and access 30+ design and branding tools.,No,No
../ExtractedEmails/Email40.pdf,30 Internships You Can't Miss Out On!,N/A,The PDF document is too large to process.,N/A,N/A
../ExtractedEmails/Email41.pdf,Choose Your Perfect Fare with Smart Fares,Offers,"Air India offers Smart Fares with Value, Classic, and Flex options for domestic flights. Enjoy benefits like standard baggage allowance, complimentary meals, lower rescheduling fees, and more.",No,No
../ExtractedEmails/Email42.pdf,Recommended: Google Data Analytics,Offers,Recommended courses on Google Data Analytics and What is Data Science? from Google and IBM respectively.,No,No
../ExtractedEmails/Email43.pdf,Kickstart Your Corporate Career in Just 1 Year!,Everything Else,"Jindal Global Business School offers a one-year MBA in Business Analytics with a focus on practical skills, global collaboration, and flexible learning.",No,No
