pdf_filename,email_title,category,summary_text,promo_code,expiry_date
../ExtractedEmails/Email1.pdf,"Two Matches, Twice the Glory – Are You In?",Everything Else,Fantasy cricket contest for Australia Women's T20 matches with rewards up to ₹70 lakh.,No,No
../ExtractedEmails/Email2.pdf,Here’s a limited-time offer ✈️,Offers,Book flights on goIndiGo.in and get up to 20% off. Limited time offer. Book now from Delhi to Mumbai.,No,No
../ExtractedEmails/Email3.pdf,Send docs via USPS directly from pdfFiller,Everything Else,pdfFiller now offers sending physical documents via USPS for documents up to 20 pages. This service is paid and not covered by any subscription plan.,No,No
../ExtractedEmails/Email5.pdf,Follow Up: Your 85% off GenieBox,Offers,Get 85% off your GenieBox logo by downloading it today. You will receive the files immediately and can create designs using your logo with the tools provided.,No,No
../ExtractedEmails/Email6.pdf,Why hirinng managerrs love this 6-lettr word,Everything Else,"This email emphasizes the importance of a perfect resume.  It highlights that recruiters delete resumes with minor errors, suggesting using a resume optimization tool for better chances of getting hired.",No,No
../ExtractedEmails/Email7.pdf,Only 8 weekends left in 2024 😯 Make the most out of them 👇,Events,"INNELLEA's THEBELRXCING ALBUM LIVE TOUR is happening on 17 November 2024 in Manpho, Bangalore. It's part of the #21YearsOfSubmerge celebration.",No,No
../ExtractedEmails/Email8.pdf,Book directly on the Air India App & unlock savings,Offers,"Get exclusive benefits on Air India app bookings: zero convenience fee for domestic flights, up to ₹1200 off on UPI payments, up to ₹1200 off with net banking, and flat ₹200 off on one-way domestic flights.",UPIPROMO,No
../ExtractedEmails/Email9.pdf,Save big. Dream bigger. Get Coursera Plus Annual for INR 7999.,Everything Else,"Get Coursera Plus Annual for INR 7999. Access over 7,000 training courses from Google, Meta, IBM and more. Offer valid for new Coursera Plus subscribers only, limited to one per person.",No,"December 2nd, 2024 11:59 PM UTC"
../ExtractedEmails/Email10.pdf,Ready to download GenieBox?,Offers,Download your GenieBox logo with 85% discount.,No,No
../ExtractedEmails/Email11.pdf,📩 Your 30+ Internships Are Here – Apply Now!,N/A,The PDF document is too large to process.,N/A,N/A
../ExtractedEmails/Email12.pdf,Important Update about your Data Privacy,Everything Else,"This email asks for consent to receive marketing communications for the Flying Returns program. You need to opt-out by November 20, 2024, to stop receiving promotional updates and offers. If you don't opt-out, you will continue to receive updates.",No,"November 20, 2024"
../ExtractedEmails/Email13.pdf,Happy families book hotels together,Offers,"Book hotels on golndiGo.in and get up to 25% off with code STAYNSAVE. Destinations include Coorg, Gangtok, Udaipur, Rishikesh, and Mount Abu.",STAYNSAVE,No
../ExtractedEmails/Email14.pdf,Unlock Member-Only Savings,Offers,"Get 50% off Biz Seat Upgrade, 25% off Prime Seats, OPTO NeuCoins on Hot Meals, and 8% off every purchase on Air India Express.",No,No
../ExtractedEmails/Email15.pdf,GenieBox is ready,Everything Else,Download your logo created using BrandCrowd and access 30+ design and branding tools to launch and market your business.,No,No
../ExtractedEmails/Email16.pdf,30 Internships You Can't Miss Out On!,N/A,The PDF document is too large to process.,N/A,N/A
../ExtractedEmails/Email17.pdf,Choose Your Perfect Fare with Smart Fares,Offers,"Air India Smart Fares offer different travel options: Value (standard baggage, meals), Classic (added comfort, lower rescheduling fee), Flex (more baggage, lowest cancellation fee). Benefits vary for each fare type, starting at an extra R500 or R1500.",No,No
../ExtractedEmails/Email18.pdf,Recommended: Google Data Analytics,Everything Else,Explore recommended courses in Data Analytics and Data Science from Google and IBM.,No,No
../ExtractedEmails/Email19.pdf,Kickstart Your Corporate Career in Just 1 Year!,Everything Else,"Jindal Global Business School offers a one-year MBA program in Business Analytics that focuses on cross-functional problem-solving using analytics. The program offers interactive learning, a global classroom environment, and flexibility for completion.",No,No
../ExtractedEmails/Email20.pdf,Help me and win Apple AirPods 4!,Everything Else,Share your experience with Sunday scaries in a 3-minute survey for a chance to win Apple AirPods 4. The survey ends on November 11th.,No,November 11th
../ExtractedEmails/Email1.pdf,Just Released: The Ultimate 2025 AI Events Calendar You Can't Afford to Miss!,N/A,The PDF document is too large to process.,N/A,N/A
../ExtractedEmails/Email2.pdf,A journey of love with Anuv Jain’s music ❤️,N/A,The PDF document is too large to process.,N/A,N/A
../ExtractedEmails/Email3.pdf,Jodhpur is in season ❤️,Offers,"Book a trip to Jodhpur starting at 3,500.",No,No
../ExtractedEmails/Email4.pdf,New Direct Flights to the Andamans – Fares Starting ₹6414!,Offers,"Book direct flights to Port Blair (formerly known as Sri Viyaya Puram) from Bengaluru and Kolkata starting December 1, 2024.",No,No
../ExtractedEmails/Email5.pdf,Your latest Internship recommendations from Prosple🚀,Reminder/Alerts,"Internship opportunity at United Nations India, Communication Affairs Intern. Applications close on 30 November 2024.",No,No
../ExtractedEmails/Email6.pdf,"Ayush, we’ve got a new challenge for you 👀",Everything Else,Unlock the Brainiac badge on Quizlet Plus by completing four tasks by 06:59 UTC on 9 November 2024.,No,06:59 UTC on 9 November 2024
../ExtractedEmails/Email7.pdf,Land More Interviews with a Tailored Resume (Tips Inside),Everything Else,AI powered resume writing tool that helps you tailor your resume for specific jobs.,No,No
../ExtractedEmails/Email8.pdf,30 *Paid* Summer 2025 Internships!,N/A,The PDF document is too large to process.,N/A,N/A
../ExtractedEmails/Email9.pdf,"Ayush, how’s your Diwali going?",Everything Else,TechVarsity offers a 2-year AI-infused CS program with curriculum assistance and placement support. Book a free webinar.,No,No
../ExtractedEmails/Email10.pdf,Extra time for up to 20% off 🕙,Offers,"Get up to 20% off on IndiGo flights booked directly on goIndiGo.in. Offer valid from October 27th to November 5th, 2024. Book your flights now!",No,"November 5th, 2024"
